agent,prompt_category,experiment,link,EA_raw,MV_raw,EA_raw_tasks,MV_raw_tasks,EA_model,MV_model,b,m1,m2,pC1,pC2,m_bar,m_gap,normative_metric,domain,loocv_r2,r2,loss,mae,rmse,loocv_rmse,params_tying,EA_raw_mean,EA_raw_median,EA_raw_lo,EA_raw_hi,MV_raw_mean,MV_raw_median,MV_raw_lo,MV_raw_hi,n_domains,meets_ea,meets_mv,meets_loocv_r2,normative_reasoner,ea_diff_threshold,mv_diff_threshold,loocv_r2_threshold
claude-3-5-haiku-20241022,CoT,rw17_overloaded_e,noisy_or,0.06562500000000016,0.1958333333333333,VIII - VI,IV - V,0.08947443962097168,0.0,0.3805457353591919,0.5876645445823669,0.5876645445823669,0.6707310676574707,0.6707310676574707,0.5876645445823669,0.0,0.20711880922317505,all,0.6989609899957213,0.556431486505955,0.0175252966582775,0.1057262122631073,0.1331454813480377,0.0982611418257359,3,0.06562499999999999,0.0625,0.03541666666666665,0.09999999999999998,0.1958333333333333,0.19375,0.165625,0.22395833333333326,6,False,False,False,False,0.0995,0.1,0.937
claude-3-7-sonnet-20250219,CoT,rw17_overloaded_e,noisy_or,0.3927083333333333,0.001041666666666663,VIII - VI,IV - V,0.34315794706344604,0.0,0.122811309993267,0.7821293473243713,0.7821293473243713,0.4666127860546112,0.4666127860546112,0.7821293473243713,0.0,0.6593180373311043,all,0.9646942765647734,0.9483332291894616,0.0125276530161499,0.0505407713353633,0.0629874393343925,0.0543212275584867,3,0.3927083333333334,0.3875,0.375,0.4104166666666667,0.001041666666666663,0.0,0.0,0.003124999999999989,6,True,True,True,True,0.0995,0.1,0.937
claude-3-haiku-20240307,CoT,rw17_overloaded_e,noisy_or,-0.025000000000000133,0.33854166666666674,VIII - VI,IV - V,0.13278985023498535,0.0,0.3257663249969482,0.6659635305404663,0.6659635305404663,0.6260631680488586,0.6260631680488586,0.6659635305404663,0.0,0.3401972055435181,all,0.6968905085128938,0.556650551486905,0.0198660194873809,0.1295345723628997,0.1702266186475753,0.1213284103958412,3,-0.024999999999999984,-0.018750000000000044,-0.07187499999999995,0.018750000000000006,0.3385416666666667,0.37187500000000007,0.22705729166666672,0.41770833333333335,6,False,False,False,False,0.0995,0.1,0.937
claude-3-opus,CoT,rw17_overloaded_e,noisy_or,0.2791666666666666,0.04791666666666672,VIII - VI,IV - V,0.2281089425086975,0.0,0.223301962018013,0.617042064666748,0.7457003593444824,0.4817837178707123,0.4817837178707123,0.6813712120056152,0.12865829467773438,0.45806924998760223,all,0.9729561183930776,0.8035536582424042,0.0090606929734349,0.0758998245000839,0.1051383018493652,0.0376904322238991,4,0.27916666666666673,0.27812500000000007,0.19166666666666674,0.3614583333333334,0.04791666666666667,0.04375000000000001,0.02291666666666668,0.07291666666666667,6,True,True,True,True,0.0995,0.1,0.937
claude-sonnet-4-20250514,CoT,rw17_overloaded_e,noisy_or,0.34375,0.04791666666666661,VIII - VI,IV - V,0.25805604457855225,0.0,0.1887777149677276,0.6905602812767029,0.6905602812767029,0.4655270874500274,0.4655270874500274,0.6905602812767029,0.0,0.5017825663089752,all,0.9623814795269948,0.919067324757276,0.0076694479212164,0.0489886440336704,0.0674302205443382,0.0472540853031676,3,0.34375,0.325,0.28750000000000003,0.40838541666666645,0.04791666666666667,0.05937499999999998,0.01979166666666668,0.07398437499999985,6,True,True,True,True,0.0995,0.1,0.937
gemini-1.5-pro,CoT,rw17_overloaded_e,noisy_or,0.2833333333333334,0.06041666666666662,VIII - VI,IV - V,0.2631988525390625,0.0,0.1998031586408615,0.6646756529808044,0.7879474759101868,0.4684208631515503,0.4684208631515503,0.7263115644454956,0.12327182292938232,0.5265084058046341,all,0.9751659670831948,0.859504258329066,0.0100560719147324,0.0672242566943168,0.095833346247673,0.0406175544140881,4,0.2833333333333333,0.284375,0.2552083333333333,0.30940104166666654,0.06041666666666667,0.06562499999999999,0.03229166666666667,0.08541666666666665,6,True,True,True,True,0.0995,0.1,0.937
gemini-2.5-flash,CoT,rw17_overloaded_e,noisy_or,0.544747340425532,-0.003124999999999989,VIII - VI,IV - V,0.44596678018569946,0.0,0.0518873669207096,0.8713533878326416,0.8713533878326416,0.460891455411911,0.460891455411911,0.8713533878326416,0.0,0.819466020911932,all,0.9685799869895791,0.941498297137884,0.0219250973314046,0.0571966245770454,0.0797484666109085,0.0588834698676503,3,0.544047619047619,0.5321428571428571,0.506547619047619,0.5875,-0.003124999999999998,0.0,-0.009374999999999994,0.0,6,True,True,True,True,0.0995,0.1,0.937
gemini-2.5-flash-lite,CoT,rw17_overloaded_e,noisy_or,0.19063829787234032,-0.014112050739957693,VIII - VI,IV - V,0.26030123233795166,0.0,0.2123676240444183,0.7493122220039368,0.7493122220039368,0.4616943597793579,0.4616943597793579,0.7493122220039368,0.0,0.5369445979595184,all,0.951912609512469,0.8787041001365818,0.0119603481143713,0.0714643523097038,0.0943160578608512,0.0598078105739519,3,0.19446428571428573,0.2098214285714286,0.14937499999999995,0.22494047619047622,-0.011607142857142863,0.0,-0.03958333333333333,0.014285714285714271,6,True,True,True,True,0.0995,0.1,0.937
gemini-2.5-pro,CoT,rw17_overloaded_e,noisy_or,0.54375,-0.01874999999999999,VIII - VI,IV - V,0.4756518006324768,0.0,0.0407235473394393,0.92011821269989,0.92011821269989,0.4560729563236236,0.4560729563236236,0.92011821269989,0.0,0.8793946653604507,all,0.9795204536373234,0.9534772517493686,0.0254823882132768,0.056671604514122,0.0752804577350616,0.0507305302845177,3,0.5437500000000001,0.55625,0.521875,0.5625,-0.018750000000000006,-0.018750000000000017,-0.03333333333333333,-0.0062500000000000056,6,True,True,True,True,0.0995,0.1,0.937
gpt-3.5-turbo,CoT,rw17_overloaded_e,noisy_or,-0.09062500000000007,0.4010416666666666,VIII - VI,IV - V,0.16037672758102417,0.0,0.2462447732686996,0.6438131332397461,0.6438131332397461,0.6201120018959045,0.6201120018959045,0.6438131332397461,0.0,0.3975683599710465,all,0.5174920028701375,0.3343152694569919,0.0455165468156337,0.2280633300542831,0.2784470021724701,0.1778724504096853,3,-0.09062500000000002,-0.07187500000000002,-0.20729166666666674,0.014583333333333318,0.4010416666666667,0.36250000000000004,0.32497395833333337,0.5041666666666665,6,False,False,False,False,0.0995,0.1,0.937
gpt-4,CoT,rw17_overloaded_e,noisy_or,0.2199275362318841,-0.04999999999999999,VIII - VI,IV - V,0.16074895858764648,0.0,0.285932332277298,0.5858665108680725,0.5858665108680725,0.4720292389392853,0.4720292389392853,0.5858665108680725,0.0,0.29993417859077454,all,0.912992602263284,0.7354668140411377,0.0079580722376704,0.0764527916908264,0.108429841697216,0.0611111572313387,3,0.22142857142857142,0.21875,0.1812499999999999,0.26428571428571435,-0.05694444444444443,-0.03749999999999998,-0.1333333333333333,0.0,3,True,True,False,False,0.0995,0.1,0.937
gpt-4.1,CoT,rw17_overloaded_e,noisy_or,0.4710106382978723,0.08124999999999993,VIII - VI,IV - V,0.3919423520565033,0.0,0.1114271804690361,0.8060173392295837,0.8060173392295837,0.405107319355011,0.405107319355011,0.8060173392295837,0.0,0.6945901587605476,all,0.9627764660924802,0.9221594970636446,0.0172717701643705,0.0632982477545738,0.082587145268917,0.0588584592642378,3,0.4711309523809524,0.4352678571428571,0.415922619047619,0.5281250000000001,0.08125,0.09375,0.028125,0.12708333333333333,6,True,True,True,True,0.0995,0.1,0.937
gpt-4.1-mini,CoT,rw17_overloaded_e,noisy_or,0.4541666666666667,-0.07395833333333335,VIII - VI,IV - V,0.33974480628967285,0.0,0.1349391639232635,0.698900043964386,0.698900043964386,0.3722856044769287,0.3722856044769287,0.698900043964386,0.0,0.5639608800411224,all,0.9530039182007836,0.8838517782821215,0.0134297963231801,0.0732914879918098,0.0885614529252052,0.0571229905544573,3,0.45416666666666666,0.4375,0.40937500000000004,0.503125,-0.07395833333333333,-0.05000000000000002,-0.12500000000000003,-0.03124999999999999,6,True,True,True,True,0.0995,0.1,0.937
