agent,domain,version,prompt_category,link,params_tying,learning_rate,lr_subdir,spec_hash,short_spec_hash,group_hash,short_group_hash,loocv_r2,cv_r2,r2_task,rmse_task,mae,aic,bic,loocv_rmse,loocv_mae,b,m1,m2,pC1,pC2
gemini-2.5-flash,all,1,CoT,noisy_or,3,,lr0p1,6563db629ff50f43379b7d7fd419933fccb34e9effe70685d0c6632fc524737f,6563db629ff5,710b3b6d079bf603dc14bf60b113932eaf398740ee8e1f2996fef9b1104420b1,710b3b6d079b,0.9910249374096463,0.9910249374096463,0.9958345001441128,0.024623225319256294,0.03174344077706337,-1344.9986485147288,-1334.6326851686556,0.03614349289118997,,0.03161804378032684,0.9801608920097351,0.9801608920097351,0.4788229167461395,0.4788229167461395
gemini-2.5-pro,all,1,CoT,noisy_or,3,,lr0p1,3a7f2e5d6479847201d2bd3b825f1a8884694b7ade29f251c8fe8c3c06988229,3a7f2e5d6479,4ecaea379fcdc6b5183ff4bae349d38629de59bdb0e9660408e2d6485e4c78ab,4ecaea379fcd,0.9909793833058754,0.9909793833058754,0.9966882451648672,0.02205986976790001,0.02577817812561989,-1475.6781111563112,-1465.2361943862852,0.0364075931411681,,0.036585744470357895,0.9864462614059448,0.9864462614059448,0.4861292243003845,0.4861292243003845
gemini-2.5-flash-lite,all,1,CoT,noisy_or,3,,lr0p1,c3826ed6f03f801ff1b19defb3df480ff9954fda9037a14f0225677f34793025,c3826ed6f03f,fd76cc70806da881832110036221b6d47c7679885e68fb3b8dc3f8d6a201cee4,fd76cc70806d,0.9677794823956632,0.9677794823956632,0.9863099205421547,0.03773036831507402,0.07519005239009857,-1040.9541170051657,-1030.6139048901669,0.057883437797970456,,0.1589100956916809,0.8744737505912781,0.8744737505912781,0.4507974684238434,0.4507974684238434
claude-sonnet-4-20250514,all,1,CoT,noisy_or,3,,lr0p1,b8038b36a6f5dfe4aa773b66b4d40bd3f48c646cb7c5a3cafdcff72e27eab4b6,b8038b36a6f5,034453bffb66efdb11f55cbdce1bac6d04d34324131f7f487117301852626bc3,034453bffb66,0.9578249717896414,0.9578249717896414,0.9803079154058604,0.03909153692172586,0.04905300959944725,-1293.339588336509,-1282.897671566483,0.05720903075943126,,0.16661635041236877,0.779364287853241,0.779364287853241,0.4575921595096588,0.4575921595096588
gpt-5-v_low-r_minimal,all,1,CoT,noisy_or,3,,lr0p1,f81ed7c2b87d3c358313eef8cfbc59c2ff755f94be5950147b0aa897142c099c,f81ed7c2b87d,7e37ada1cf7ec6b21efad17ddfdd50366f1fbdfc5b568e3871b389e14c417774,7e37ada1cf7e,0.9510734893261675,0.9510734893261675,0.972273830586086,0.049564461424010865,0.06438454240560532,-1189.893252055974,-1179.451335285948,0.06584117567462154,,0.16693738102912903,0.8195326328277588,0.8195326328277588,0.4267793595790863,0.4267793595790863
gemini-1.5-pro,all,1,CoT,noisy_or,3,,lr0p1,7b8c8ea6f7cb2e40c4fef7d82b4c001c7c04cee15da7fa8fd9ab9788bd7ffe94,7b8c8ea6f7cb,453ff1399a8ce4cea315541d73b6a7ab9c79ff3477d5b4e7a2f5f922a5fb9575,453ff1399a8c,0.9454041243342061,0.9454041243342061,0.9743849843401559,0.0486946568597832,0.09027936309576035,-977.6845630091234,-967.2426462390974,0.07109088405735049,,0.14994607865810394,0.8196136355400085,0.8196136355400085,0.424898236989975,0.424898236989975
claude-3-7-sonnet-20250219,all,1,CoT,noisy_or,3,,lr0p1,8a86426b42d1c8ce860d2fa63308254188e2a8ced0692994fa58fd2af9678d5e,8a86426b42d1,26b17865b42c23abde73a26d3c957fd170ae0a51364825a657486afe598a831d,26b17865b42c,0.9272613289918604,0.9272613289918604,0.9671597154905146,0.05616629702278254,0.06671501696109772,-1166.0080864732538,-1155.5661697032278,0.08359013329647047,,0.0856780931353569,0.7938202619552612,0.7938202619552612,0.43483856320381165,0.43483856320381165
gpt-5-mini-v_low-r_minimal,all,1,CoT,noisy_or,3,,lr0p1,fc86278ffa0ecf6fb7d7ee474b920822cb694b5346a603ab1083c3c5204ae960,fc86278ffa0e,49d59047ef5ba5b1eaebd8282ba457567c47385185e4495f2c9c6f1d78dc3d33,49d59047ef5b,0.9247025804552907,0.9247025804552907,0.9602519067074402,0.056119944721359366,0.08607568591833115,-980.8491197417475,-970.5089076267485,0.07724122110021904,,0.1279081404209137,0.7388990521430969,0.7388990521430969,0.3484898507595062,0.3484898507595062
claude-3-5-haiku-20241022,all,1,CoT,noisy_or,4,,lr0p1,1cbb8d4bb3e55edc4d385d1acb356833132e0f8b57864110079b0b16539dc680,1cbb8d4bb3e5,b2abb662bb61601998c5c27a5ddc3a9ed221a482049afbdadde92b9fa7567ed2,b2abb662bb61,0.9031222489506481,0.9031222489506481,0.958479804439987,0.04277678074867029,0.15505509078502655,-797.14284685365,-783.220291160282,0.06534169961348642,,0.2520815134048462,0.659778892993927,0.5293547511100769,0.624538242816925,0.624538242816925
gpt-5-nano-v_low-r_minimal,all,1,CoT,noisy_or,3,,lr0p1,e5d42c4b11d535f1218557be397299eca40cc8b4f4b878f1ccf4e0d6ff96bbb4,e5d42c4b11d5,1ff1c8a393c2a3bae86a14c099591ec8ab326a091e3b095f429620b499def02a,1ff1c8a393c2,0.8464738086669993,0.8464738086669993,0.9231743288979913,0.045148735565214225,0.1159198135137558,-907.1570829910472,-896.7402709700328,0.06382394558437253,,0.2802417576313019,0.46406736969947815,0.46406736969947815,0.4722987711429596,0.4722987711429596
claude-3-opus,all,1,CoT,noisy_or,3,,lr0p1,d299690c09dfeddbd5b2aaf9dca046b1c1b6cdf1f4fccba4bce5fbb06158d420,d299690c09df,e9ed17aa54e35c47cbdc31c0318e0c0cae53fda91c5c949861e87cff14ef2989,e9ed17aa54e3,0.8250287143442403,0.8250287143442403,0.9103014336711762,0.05867736521102239,0.11812631040811539,-871.2306807788511,-860.7887640088252,0.08195231859188512,,0.23636111617088318,0.524487316608429,0.524487316608429,0.4918975234031677,0.4918975234031677
