agent,prompt_category,experiment,link,EA_raw,MV_raw,EA_raw_tasks,MV_raw_tasks,EA_model,MV_model,b,m1,m2,pC1,pC2,m_bar,m_gap,normative_metric,domain,loocv_r2,loss,mae,loocv_rmse,params_tying,EA_raw_mean,EA_raw_median,EA_raw_lo,EA_raw_hi,MV_raw_mean,MV_raw_median,MV_raw_lo,MV_raw_hi,n_domains
claude-3-5-haiku-20241022,numeric,rw17_overloaded_e,noisy_or,-0.0010416666666666075,0.18333333333333335,VIII - VI,IV - V,0.08877688646316528,0.0,0.2955086827278137,0.3215265572071075,0.6935102939605713,0.6928969621658325,0.6928969621658325,0.5075184255838394,0.3719837367534638,0.2120097428560257,all,0.628259005533328,0.0543642900884151,0.1026540249586105,0.101456671471439,4,-0.0010416666666666259,-0.003124999999999989,-0.013541666666666619,0.012500000000000048,0.18333333333333335,0.16874999999999996,0.15000000000000002,0.22294270833333318,6
claude-3-7-sonnet-20250219,numeric,rw17_overloaded_e,noisy_or,0.45572916666666663,0.0,VIII - VI,IV - V,0.3762977123260498,0.0,0.072546437382698,0.7720575928688049,0.7720575928688049,0.4890520572662353,0.4890520572662353,0.7720575928688049,0.0,0.6995111554861069,all,0.8486954174668193,0.0498698130249977,0.127136155962944,0.1174226068931714,3,0.4557291666666667,0.45156250000000003,0.43904947916666665,0.47239583333333335,0.0,0.0,0.0,0.0,6
claude-3-haiku-20240307,numeric,rw17_overloaded_e,noisy_or,-0.14218750000000013,0.23697916666666663,VIII - VI,IV - V,0.05588710308074951,0.0,0.4578417539596557,0.5268591642379761,0.5268591642379761,0.7099138498306274,0.7099138498306274,0.5268591642379761,0.0,0.06901741027832037,all,0.5517455212448237,0.0579711720347404,0.1195903718471527,0.1075212989730939,3,-0.1421875,-0.10468750000000004,-0.23072916666666665,-0.06561197916666674,0.2369791666666667,0.23750000000000004,0.22187500000000004,0.2515625,6
claude-3-opus,numeric,rw17_overloaded_e,noisy_or,0.2025,-0.0015624999999999667,VIII - VI,IV - V,0.11423039436340332,0.0,0.353944331407547,0.4061881005764007,0.7559564709663391,0.5315507054328918,0.5315507054328918,0.5810722857713699,0.3497683703899384,0.22712795436382294,all,0.6537532636930865,0.0189797952771186,0.1014951169490814,0.1042880419779154,4,0.2025,0.18968750000000006,0.14811197916666666,0.26291666666666674,-0.0015625000000000038,0.0,-0.0078125,0.003124999999999989,6
claude-sonnet-4-20250514,numeric,rw17_overloaded_e,noisy_or,0.18177083333333333,0.0026041666666666297,VIII - VI,IV - V,0.24124670028686523,0.0,0.2035617679357528,0.6862747669219971,0.6862747669219971,0.4805024564266205,0.4805024564266205,0.6862747669219971,0.0,0.48271299898624426,all,0.9753664872704044,0.0202781874686479,0.0587366111576557,0.0388605067463298,3,0.18177083333333335,0.18125000000000002,0.11614583333333334,0.25677083333333334,0.0026041666666666665,0.0,0.0,0.0078125,6
gemini-1.5-pro,numeric,rw17_overloaded_e,noisy_or,0.1088541666666667,-0.03541666666666665,VIII - VI,IV - V,0.17315435409545898,0.0,0.3106333315372467,0.7216384410858154,0.7216384410858154,0.545131504535675,0.545131504535675,0.7216384410858154,0.0,0.4110051095485687,all,0.8592898731328229,0.0398939996957778,0.1353754699230194,0.095902343276076,3,0.10885416666666668,0.1171875,0.06354166666666668,0.1489583333333334,-0.03541666666666666,-0.032812499999999994,-0.05885416666666666,-0.013020833333333324,6
gemini-2.5-flash,numeric,rw17_overloaded_e,noisy_or,0.5078830645161291,0.005208333333333315,VIII - VI,IV - V,0.4681206941604614,0.0,0.0248430743813514,0.9027687907218932,0.9027687907218932,0.4804805517196655,0.4804805517196655,0.9027687907218932,0.0,0.8779257163405418,all,0.9832510052911254,0.0510151945054531,0.0509390421211719,0.0453890980070877,3,0.507718253968254,0.5026339285714285,0.49494047619047615,0.5215624999999998,0.005208333333333333,0.0,0.0,0.010416666666666666,6
gemini-2.5-flash-lite,numeric,rw17_overloaded_e,noisy_or,-0.2578125,-0.15885416666666669,VIII - VI,IV - V,0.10166597366333008,0.0,0.3605243861675262,0.4968652725219726,0.4968652725219726,0.4809555411338806,0.4809555411338806,0.4968652725219726,0.0,0.1363408863544464,all,0.3130016438967881,0.08253825455904,0.2334542125463485,0.2081829906662964,3,-0.2578125,-0.18906249999999997,-0.4291666666666667,-0.14843749999999997,-0.15885416666666666,-0.15625,-0.19537760416666666,-0.125,6
gemini-2.5-pro,numeric,rw17_overloaded_e,noisy_or,0.5311231884057972,-0.007608695652173925,VIII - VI,IV - V,0.5022153258323669,0.0,0.0106235574930906,0.9576299786567688,0.9576299786567688,0.4754535257816314,0.4754535257816314,0.9576299786567688,0.0,0.9470064211636782,all,0.9892773761236116,0.0626369267702102,0.0429762601852417,0.0393491940521065,3,0.5298115079365079,0.5244791666666666,0.5092248263888889,0.5527777777777777,-0.0072916666666666685,0.0,-0.016666666666666673,0.0,6
gpt-3.5-turbo,numeric,rw17_overloaded_e,noisy_or,-0.02604166666666663,0.1317708333333334,VIII - VI,IV - V,0.018928349018096924,0.0,0.6202540397644043,0.3874122500419616,0.3874122500419616,0.7217576503753662,0.7217576503753662,0.3874122500419616,0.0,-0.23284178972244268,all,0.5357024385740241,0.0485351718962192,0.0785370022058487,0.0631736222014893,3,-0.026041666666666685,-0.039062500000000056,-0.07031250000000001,0.020833333333333332,0.13177083333333336,0.13906250000000003,0.09062500000000002,0.1713541666666667,6
gpt-4,numeric,rw17_overloaded_e,noisy_or,0.26093750000000004,-0.08854166666666669,VIII - VI,IV - V,0.1510089635848999,0.0,0.2802271246910095,0.3792888224124908,0.8596958518028259,0.5199013352394104,0.5199013352394104,0.6194923371076584,0.48040702939033514,0.33926521241664886,all,0.3896438419693262,0.0324832610785961,0.1170267164707183,0.1587497821100722,4,0.26093750000000004,0.22500000000000003,0.16875000000000004,0.3625,-0.08854166666666667,-0.0625,-0.15104166666666666,-0.041666666666666664,6
gpt-4.1,numeric,rw17_overloaded_e,noisy_or,0.26260416666666664,0.004166666666666707,VIII - VI,IV - V,0.3508264422416687,0.0,0.1489433050155639,0.8671425580978394,0.8671425580978394,0.4563698470592499,0.4563698470592499,0.8671425580978394,0.0,0.7181992530822754,all,0.9369662521024464,0.0464894846081733,0.1001701205968856,0.0814763945996341,3,0.2626041666666667,0.24718750000000006,0.22302083333333336,0.3078125,0.004166666666666661,0.0,0.0,0.010416666666666657,6
gpt-4.1-mini,numeric,rw17_overloaded_e,noisy_or,0.4041666666666666,-0.04583333333333334,VIII - VI,IV - V,0.36053961515426636,0.0,0.1067842245101928,0.6992546916007996,0.6992546916007996,0.4091376364231109,0.4091376364231109,0.6992546916007996,0.0,0.5924704670906068,all,0.9196337059059482,0.0560860075056552,0.1463368088006973,0.0789521087575845,3,0.40416666666666673,0.40937500000000004,0.3692708333333334,0.43854166666666666,-0.04583333333333334,-0.037500000000000006,-0.08125,-0.01145833333333334,6
gpt-4o,numeric,rw17_overloaded_e,noisy_or,0.32239583333333344,0.03125,VIII - VI,IV - V,0.47913458943367004,0.0,0.0409692265093326,0.8942781686782837,0.8050598502159119,0.4143429696559906,0.4143429696559906,0.8496690094470978,0.08921831846237183,0.8086997829377651,all,0.986946961858324,0.07913538813591,0.1347579658031463,0.0396568298414927,4,0.3223958333333333,0.35,0.23906249999999996,0.3833333333333333,0.03125,0.015625,-0.010416666666666666,0.078125,6
gpt-5-mini-v_low-r_low,numeric,rw17_overloaded_e,noisy_or,0.55375,-0.009374999999999967,VIII - VI,IV - V,0.39693889021873474,0.0,0.1112440302968025,0.8011278510093689,0.8011278510093689,0.39055997133255,0.39055997133255,0.8011278510093689,0.0,0.6898838207125664,all,0.8808614362521673,0.0389532893896102,0.0847464278340339,0.1038807503027212,3,0.55375,0.5196875,0.4891666666666666,0.6258333333333334,-0.009375000000000003,-0.009374999999999994,-0.017708333333333336,-0.0010416666666666723,6
gpt-5-mini-v_low-r_minimal,numeric,rw17_overloaded_e,noisy_or,0.18364583333333323,-0.09270833333333339,VIII - VI,IV - V,0.15411514043807983,0.0,0.247037187218666,0.4009425044059753,0.5847756862640381,0.4414496421813965,0.4414496421813965,0.4928590953350067,0.1838331818580628,0.24582190811634072,all,0.8570859394111346,0.0314310863614082,0.1245032772421836,0.0695496598070945,4,0.18364583333333337,0.16749999999999998,0.1584375,0.2114583333333334,-0.09270833333333334,-0.10468749999999999,-0.13281249999999997,-0.04790364583333342,6
gpt-5-nano-v_low-r_low,numeric,rw17_overloaded_e,noisy_or,0.20421052631578945,-0.04210526315789476,VIII - VI,IV - V,0.20321309566497803,0.0,0.2486769556999206,0.6289385557174683,0.6289385557174683,0.423755019903183,0.423755019903183,0.6289385557174683,0.0,0.38026160001754766,all,0.94829538007978,0.0215682908892631,0.0851282402873039,0.051107443608062,3,0.2034722222222222,0.17447916666666666,0.14253472222222222,0.2784027777777778,-0.04180555555555556,-0.03322916666666664,-0.0885546875,-0.0017013888888888957,6
gpt-5-nano-v_low-r_minimal,numeric,rw17_overloaded_e,noisy_or,-0.10062499999999996,0.05562499999999998,VIII - VI,IV - V,0.03235882520675659,0.0,0.4160277843475342,0.2601532638072967,0.2601532638072967,0.4871487021446228,0.4871487021446228,0.2601532638072967,0.0,-0.15587452054023748,all,0.5097559975690643,0.0559523813426494,0.1658472716808319,0.0702295955879273,3,-0.100625,-0.1015625,-0.12343750000000002,-0.07489583333333331,0.05562499999999998,0.03343749999999998,0.008020833333333319,0.10823958333333325,6
gpt-5-v_low-r_low,numeric,rw17_overloaded_e,noisy_or,0.5207291666666667,-0.003645833333333348,VIII - VI,IV - V,0.4246717393398285,0.0,0.089276909828186,0.851345419883728,0.851345419883728,0.4196127653121948,0.4196127653121948,0.851345419883728,0.0,0.762068510055542,all,0.9296739228037266,0.0429312847554683,0.0796527490019798,0.0855213318684844,3,0.5207291666666667,0.534375,0.4488541666666666,0.5927083333333333,-0.0036458333333333295,0.0,-0.012500000000000011,0.0015625000000000222,6
gpt-5-v_low-r_minimal,numeric,rw17_overloaded_e,noisy_or,0.0675,0.001041666666666663,VIII - VI,IV - V,0.218801349401474,0.0,0.2470819503068924,0.6782628297805786,0.6782628297805786,0.4349212944507599,0.4349212944507599,0.6782628297805786,0.0,0.4311808794736862,all,0.657046441920598,0.0370778478682041,0.1313328295946121,0.1557659566030193,3,0.06749999999999999,0.06374999999999992,0.03020833333333328,0.10605208333333327,0.0010416666666666814,0.0,-0.002083333333333326,0.005208333333333352,6
