id;response;prompt_category;graph;domain;task;cntbl_cond;subject;temperature
1;100;single_numeric_response;collider;economy;a;ppp;claude-3-haiku-20240307;0.0
2;100;single_numeric_response;collider;economy;a;ppp;claude-3-haiku-20240307;0.0
3;75;single_numeric_response;collider;economy;b;ppp;claude-3-haiku-20240307;0.0
4;50;single_numeric_response;collider;economy;b;ppp;claude-3-haiku-20240307;0.0
5;100;single_numeric_response;collider;economy;c;ppp;claude-3-haiku-20240307;0.0
6;50;single_numeric_response;collider;economy;c;ppp;claude-3-haiku-20240307;0.0
7;75;single_numeric_response;collider;economy;d;ppp;claude-3-haiku-20240307;0.0
8;75;single_numeric_response;collider;economy;d;ppp;claude-3-haiku-20240307;0.0
9;50;single_numeric_response;collider;economy;e;ppp;claude-3-haiku-20240307;0.0
10;50;single_numeric_response;collider;economy;e;ppp;claude-3-haiku-20240307;0.0
11;75;single_numeric_response;collider;economy;f;ppp;claude-3-haiku-20240307;0.0
12;75;single_numeric_response;collider;economy;f;ppp;claude-3-haiku-20240307;0.0
13;50;single_numeric_response;collider;economy;g;ppp;claude-3-haiku-20240307;0.0
14;50;single_numeric_response;collider;economy;g;ppp;claude-3-haiku-20240307;0.0
15;50;single_numeric_response;collider;economy;h;ppp;claude-3-haiku-20240307;0.0
16;50;single_numeric_response;collider;economy;h;ppp;claude-3-haiku-20240307;0.0
17;50;single_numeric_response;collider;economy;i;ppp;claude-3-haiku-20240307;0.0
18;75;single_numeric_response;collider;economy;j;ppp;claude-3-haiku-20240307;0.0
19;100;single_numeric_response;collider;economy;j;ppp;claude-3-haiku-20240307;0.0
20;100;single_numeric_response;collider;economy;k;ppp;claude-3-haiku-20240307;0.0
61;80;single_numeric_response;collider;economy;a;pmm;claude-3-haiku-20240307;0.0
62;75;single_numeric_response;collider;economy;a;pmm;claude-3-haiku-20240307;0.0
63;75;single_numeric_response;collider;economy;b;pmm;claude-3-haiku-20240307;0.0
64;50;single_numeric_response;collider;economy;b;pmm;claude-3-haiku-20240307;0.0
65;75;single_numeric_response;collider;economy;c;pmm;claude-3-haiku-20240307;0.0
66;75;single_numeric_response;collider;economy;c;pmm;claude-3-haiku-20240307;0.0
67;75;single_numeric_response;collider;economy;d;pmm;claude-3-haiku-20240307;0.0
68;75;single_numeric_response;collider;economy;d;pmm;claude-3-haiku-20240307;0.0
69;50;single_numeric_response;collider;economy;e;pmm;claude-3-haiku-20240307;0.0
70;50;single_numeric_response;collider;economy;e;pmm;claude-3-haiku-20240307;0.0
71;50;single_numeric_response;collider;economy;f;pmm;claude-3-haiku-20240307;0.0
72;50;single_numeric_response;collider;economy;f;pmm;claude-3-haiku-20240307;0.0
73;50;single_numeric_response;collider;economy;g;pmm;claude-3-haiku-20240307;0.0
74;50;single_numeric_response;collider;economy;g;pmm;claude-3-haiku-20240307;0.0
75;50;single_numeric_response;collider;economy;h;pmm;claude-3-haiku-20240307;0.0
76;50;single_numeric_response;collider;economy;h;pmm;claude-3-haiku-20240307;0.0
77;0;single_numeric_response;collider;economy;i;pmm;claude-3-haiku-20240307;0.0
78;50;single_numeric_response;collider;economy;j;pmm;claude-3-haiku-20240307;0.0
79;75;single_numeric_response;collider;economy;j;pmm;claude-3-haiku-20240307;0.0
80;100;single_numeric_response;collider;economy;k;pmm;claude-3-haiku-20240307;0.0
101;100;single_numeric_response;collider;economy;a;mpm;claude-3-haiku-20240307;0.0
102;50;single_numeric_response;collider;economy;a;mpm;claude-3-haiku-20240307;0.0
103;50;single_numeric_response;collider;economy;b;mpm;claude-3-haiku-20240307;0.0
104;50;single_numeric_response;collider;economy;b;mpm;claude-3-haiku-20240307;0.0
105;100;single_numeric_response;collider;economy;c;mpm;claude-3-haiku-20240307;0.0
106;50;single_numeric_response;collider;economy;c;mpm;claude-3-haiku-20240307;0.0
107;75;single_numeric_response;collider;economy;d;mpm;claude-3-haiku-20240307;0.0
108;100;single_numeric_response;collider;economy;d;mpm;claude-3-haiku-20240307;0.0
109;50;single_numeric_response;collider;economy;e;mpm;claude-3-haiku-20240307;0.0
110;50;single_numeric_response;collider;economy;e;mpm;claude-3-haiku-20240307;0.0
111;50;single_numeric_response;collider;economy;f;mpm;claude-3-haiku-20240307;0.0
112;50;single_numeric_response;collider;economy;f;mpm;claude-3-haiku-20240307;0.0
113;50;single_numeric_response;collider;economy;g;mpm;claude-3-haiku-20240307;0.0
114;50;single_numeric_response;collider;economy;g;mpm;claude-3-haiku-20240307;0.0
115;50;single_numeric_response;collider;economy;h;mpm;claude-3-haiku-20240307;0.0
116;50;single_numeric_response;collider;economy;h;mpm;claude-3-haiku-20240307;0.0
117;50;single_numeric_response;collider;economy;i;mpm;claude-3-haiku-20240307;0.0
118;50;single_numeric_response;collider;economy;j;mpm;claude-3-haiku-20240307;0.0
119;100;single_numeric_response;collider;economy;j;mpm;claude-3-haiku-20240307;0.0
120;100;single_numeric_response;collider;economy;k;mpm;claude-3-haiku-20240307;0.0
121;100;single_numeric_response;collider;economy;a;mmp;claude-3-haiku-20240307;0.0
122;100;single_numeric_response;collider;economy;a;mmp;claude-3-haiku-20240307;0.0
123;75;single_numeric_response;collider;economy;b;mmp;claude-3-haiku-20240307;0.0
124;50;single_numeric_response;collider;economy;b;mmp;claude-3-haiku-20240307;0.0
125;100;single_numeric_response;collider;economy;c;mmp;claude-3-haiku-20240307;0.0
126;100;single_numeric_response;collider;economy;c;mmp;claude-3-haiku-20240307;0.0
127;75;single_numeric_response;collider;economy;d;mmp;claude-3-haiku-20240307;0.0
128;75;single_numeric_response;collider;economy;d;mmp;claude-3-haiku-20240307;0.0
129;50;single_numeric_response;collider;economy;e;mmp;claude-3-haiku-20240307;0.0
130;50;single_numeric_response;collider;economy;e;mmp;claude-3-haiku-20240307;0.0
131;50;single_numeric_response;collider;economy;f;mmp;claude-3-haiku-20240307;0.0
132;50;single_numeric_response;collider;economy;f;mmp;claude-3-haiku-20240307;0.0
133;50;single_numeric_response;collider;economy;g;mmp;claude-3-haiku-20240307;0.0
134;50;single_numeric_response;collider;economy;g;mmp;claude-3-haiku-20240307;0.0
135;50;single_numeric_response;collider;economy;h;mmp;claude-3-haiku-20240307;0.0
136;50;single_numeric_response;collider;economy;h;mmp;claude-3-haiku-20240307;0.0
137;0;single_numeric_response;collider;economy;i;mmp;claude-3-haiku-20240307;0.0
138;75;single_numeric_response;collider;economy;j;mmp;claude-3-haiku-20240307;0.0
139;80;single_numeric_response;collider;economy;j;mmp;claude-3-haiku-20240307;0.0
140;100;single_numeric_response;collider;economy;k;mmp;claude-3-haiku-20240307;0.0
161;100;single_numeric_response;collider;sociology;a;ppp;claude-3-haiku-20240307;0.0
162;100;single_numeric_response;collider;sociology;a;ppp;claude-3-haiku-20240307;0.0
163;75;single_numeric_response;collider;sociology;b;ppp;claude-3-haiku-20240307;0.0
164;100;single_numeric_response;collider;sociology;b;ppp;claude-3-haiku-20240307;0.0
165;50;single_numeric_response;collider;sociology;c;ppp;claude-3-haiku-20240307;0.0
166;50;single_numeric_response;collider;sociology;c;ppp;claude-3-haiku-20240307;0.0
167;50;single_numeric_response;collider;sociology;d;ppp;claude-3-haiku-20240307;0.0
168;50;single_numeric_response;collider;sociology;d;ppp;claude-3-haiku-20240307;0.0
169;50;single_numeric_response;collider;sociology;e;ppp;claude-3-haiku-20240307;0.0
170;50;single_numeric_response;collider;sociology;e;ppp;claude-3-haiku-20240307;0.0
171;50;single_numeric_response;collider;sociology;f;ppp;claude-3-haiku-20240307;0.0
172;50;single_numeric_response;collider;sociology;f;ppp;claude-3-haiku-20240307;0.0
173;50;single_numeric_response;collider;sociology;g;ppp;claude-3-haiku-20240307;0.0
174;50;single_numeric_response;collider;sociology;g;ppp;claude-3-haiku-20240307;0.0
175;50;single_numeric_response;collider;sociology;h;ppp;claude-3-haiku-20240307;0.0
176;50;single_numeric_response;collider;sociology;h;ppp;claude-3-haiku-20240307;0.0
177;50;single_numeric_response;collider;sociology;i;ppp;claude-3-haiku-20240307;0.0
178;50;single_numeric_response;collider;sociology;j;ppp;claude-3-haiku-20240307;0.0
179;75;single_numeric_response;collider;sociology;j;ppp;claude-3-haiku-20240307;0.0
180;100;single_numeric_response;collider;sociology;k;ppp;claude-3-haiku-20240307;0.0
221;75;single_numeric_response;collider;sociology;a;pmm;claude-3-haiku-20240307;0.0
222;75;single_numeric_response;collider;sociology;a;pmm;claude-3-haiku-20240307;0.0
223;50;single_numeric_response;collider;sociology;b;pmm;claude-3-haiku-20240307;0.0
224;75;single_numeric_response;collider;sociology;b;pmm;claude-3-haiku-20240307;0.0
225;75;single_numeric_response;collider;sociology;c;pmm;claude-3-haiku-20240307;0.0
226;100;single_numeric_response;collider;sociology;c;pmm;claude-3-haiku-20240307;0.0
227;50;single_numeric_response;collider;sociology;d;pmm;claude-3-haiku-20240307;0.0
228;50;single_numeric_response;collider;sociology;d;pmm;claude-3-haiku-20240307;0.0
229;50;single_numeric_response;collider;sociology;e;pmm;claude-3-haiku-20240307;0.0
230;50;single_numeric_response;collider;sociology;e;pmm;claude-3-haiku-20240307;0.0
231;50;single_numeric_response;collider;sociology;f;pmm;claude-3-haiku-20240307;0.0
232;50;single_numeric_response;collider;sociology;f;pmm;claude-3-haiku-20240307;0.0
233;50;single_numeric_response;collider;sociology;g;pmm;claude-3-haiku-20240307;0.0
234;50;single_numeric_response;collider;sociology;g;pmm;claude-3-haiku-20240307;0.0
235;50;single_numeric_response;collider;sociology;h;pmm;claude-3-haiku-20240307;0.0
236;50;single_numeric_response;collider;sociology;h;pmm;claude-3-haiku-20240307;0.0
237;50;single_numeric_response;collider;sociology;i;pmm;claude-3-haiku-20240307;0.0
238;75;single_numeric_response;collider;sociology;j;pmm;claude-3-haiku-20240307;0.0
239;75;single_numeric_response;collider;sociology;j;pmm;claude-3-haiku-20240307;0.0
240;100;single_numeric_response;collider;sociology;k;pmm;claude-3-haiku-20240307;0.0
261;100;single_numeric_response;collider;sociology;a;mpm;claude-3-haiku-20240307;0.0
262;100;single_numeric_response;collider;sociology;a;mpm;claude-3-haiku-20240307;0.0
263;50;single_numeric_response;collider;sociology;b;mpm;claude-3-haiku-20240307;0.0
264;50;single_numeric_response;collider;sociology;b;mpm;claude-3-haiku-20240307;0.0
265;50;single_numeric_response;collider;sociology;c;mpm;claude-3-haiku-20240307;0.0
266;50;single_numeric_response;collider;sociology;c;mpm;claude-3-haiku-20240307;0.0
267;50;single_numeric_response;collider;sociology;d;mpm;claude-3-haiku-20240307;0.0
268;50;single_numeric_response;collider;sociology;d;mpm;claude-3-haiku-20240307;0.0
269;50;single_numeric_response;collider;sociology;e;mpm;claude-3-haiku-20240307;0.0
270;50;single_numeric_response;collider;sociology;e;mpm;claude-3-haiku-20240307;0.0
271;50;single_numeric_response;collider;sociology;f;mpm;claude-3-haiku-20240307;0.0
272;50;single_numeric_response;collider;sociology;f;mpm;claude-3-haiku-20240307;0.0
273;50;single_numeric_response;collider;sociology;g;mpm;claude-3-haiku-20240307;0.0
274;0;single_numeric_response;collider;sociology;g;mpm;claude-3-haiku-20240307;0.0
275;50;single_numeric_response;collider;sociology;h;mpm;claude-3-haiku-20240307;0.0
276;50;single_numeric_response;collider;sociology;h;mpm;claude-3-haiku-20240307;0.0
277;0;single_numeric_response;collider;sociology;i;mpm;claude-3-haiku-20240307;0.0
278;50;single_numeric_response;collider;sociology;j;mpm;claude-3-haiku-20240307;0.0
279;75;single_numeric_response;collider;sociology;j;mpm;claude-3-haiku-20240307;0.0
280;100;single_numeric_response;collider;sociology;k;mpm;claude-3-haiku-20240307;0.0
281;100;single_numeric_response;collider;sociology;a;mmp;claude-3-haiku-20240307;0.0
282;100;single_numeric_response;collider;sociology;a;mmp;claude-3-haiku-20240307;0.0
283;50;single_numeric_response;collider;sociology;b;mmp;claude-3-haiku-20240307;0.0
284;50;single_numeric_response;collider;sociology;b;mmp;claude-3-haiku-20240307;0.0
285;100;single_numeric_response;collider;sociology;c;mmp;claude-3-haiku-20240307;0.0
286;50;single_numeric_response;collider;sociology;c;mmp;claude-3-haiku-20240307;0.0
287;50;single_numeric_response;collider;sociology;d;mmp;claude-3-haiku-20240307;0.0
288;100;single_numeric_response;collider;sociology;d;mmp;claude-3-haiku-20240307;0.0
289;50;single_numeric_response;collider;sociology;e;mmp;claude-3-haiku-20240307;0.0
290;50;single_numeric_response;collider;sociology;e;mmp;claude-3-haiku-20240307;0.0
291;50;single_numeric_response;collider;sociology;f;mmp;claude-3-haiku-20240307;0.0
292;100;single_numeric_response;collider;sociology;f;mmp;claude-3-haiku-20240307;0.0
293;50;single_numeric_response;collider;sociology;g;mmp;claude-3-haiku-20240307;0.0
294;50;single_numeric_response;collider;sociology;g;mmp;claude-3-haiku-20240307;0.0
295;50;single_numeric_response;collider;sociology;h;mmp;claude-3-haiku-20240307;0.0
296;50;single_numeric_response;collider;sociology;h;mmp;claude-3-haiku-20240307;0.0
297;50;single_numeric_response;collider;sociology;i;mmp;claude-3-haiku-20240307;0.0
298;100;single_numeric_response;collider;sociology;j;mmp;claude-3-haiku-20240307;0.0
299;75;single_numeric_response;collider;sociology;j;mmp;claude-3-haiku-20240307;0.0
300;100;single_numeric_response;collider;sociology;k;mmp;claude-3-haiku-20240307;0.0
321;80;single_numeric_response;collider;weather;a;ppp;claude-3-haiku-20240307;0.0
322;100;single_numeric_response;collider;weather;a;ppp;claude-3-haiku-20240307;0.0
323;50;single_numeric_response;collider;weather;b;ppp;claude-3-haiku-20240307;0.0
324;100;single_numeric_response;collider;weather;b;ppp;claude-3-haiku-20240307;0.0
325;50;single_numeric_response;collider;weather;c;ppp;claude-3-haiku-20240307;0.0
326;100;single_numeric_response;collider;weather;c;ppp;claude-3-haiku-20240307;0.0
327;75;single_numeric_response;collider;weather;d;ppp;claude-3-haiku-20240307;0.0
328;100;single_numeric_response;collider;weather;d;ppp;claude-3-haiku-20240307;0.0
329;50;single_numeric_response;collider;weather;e;ppp;claude-3-haiku-20240307;0.0
330;50;single_numeric_response;collider;weather;e;ppp;claude-3-haiku-20240307;0.0
331;50;single_numeric_response;collider;weather;f;ppp;claude-3-haiku-20240307;0.0
332;50;single_numeric_response;collider;weather;f;ppp;claude-3-haiku-20240307;0.0
333;50;single_numeric_response;collider;weather;g;ppp;claude-3-haiku-20240307;0.0
334;50;single_numeric_response;collider;weather;g;ppp;claude-3-haiku-20240307;0.0
335;0;single_numeric_response;collider;weather;h;ppp;claude-3-haiku-20240307;0.0
336;50;single_numeric_response;collider;weather;h;ppp;claude-3-haiku-20240307;0.0
337;50;single_numeric_response;collider;weather;i;ppp;claude-3-haiku-20240307;0.0
338;75;single_numeric_response;collider;weather;j;ppp;claude-3-haiku-20240307;0.0
339;80;single_numeric_response;collider;weather;j;ppp;claude-3-haiku-20240307;0.0
340;100;single_numeric_response;collider;weather;k;ppp;claude-3-haiku-20240307;0.0
381;100;single_numeric_response;collider;weather;a;pmm;claude-3-haiku-20240307;0.0
382;100;single_numeric_response;collider;weather;a;pmm;claude-3-haiku-20240307;0.0
383;50;single_numeric_response;collider;weather;b;pmm;claude-3-haiku-20240307;0.0
384;50;single_numeric_response;collider;weather;b;pmm;claude-3-haiku-20240307;0.0
385;100;single_numeric_response;collider;weather;c;pmm;claude-3-haiku-20240307;0.0
386;100;single_numeric_response;collider;weather;c;pmm;claude-3-haiku-20240307;0.0
387;50;single_numeric_response;collider;weather;d;pmm;claude-3-haiku-20240307;0.0
388;50;single_numeric_response;collider;weather;d;pmm;claude-3-haiku-20240307;0.0
389;50;single_numeric_response;collider;weather;e;pmm;claude-3-haiku-20240307;0.0
390;50;single_numeric_response;collider;weather;e;pmm;claude-3-haiku-20240307;0.0
391;50;single_numeric_response;collider;weather;f;pmm;claude-3-haiku-20240307;0.0
392;50;single_numeric_response;collider;weather;f;pmm;claude-3-haiku-20240307;0.0
393;50;single_numeric_response;collider;weather;g;pmm;claude-3-haiku-20240307;0.0
394;50;single_numeric_response;collider;weather;g;pmm;claude-3-haiku-20240307;0.0
395;0;single_numeric_response;collider;weather;h;pmm;claude-3-haiku-20240307;0.0
396;50;single_numeric_response;collider;weather;h;pmm;claude-3-haiku-20240307;0.0
397;0;single_numeric_response;collider;weather;i;pmm;claude-3-haiku-20240307;0.0
