agent,prompt_category,domain,loss,mae,rmse,r2,ece_10bin,aic,bic,num_rows,model,params_tying,lr,optimizer,version,experiment,graph_type,temperature,included_domains,seed_used,restart_index,run_timestamp,init_pC1,fit_pC1,init_pC2,fit_pC2,init_w0,fit_w0,init_w1,fit_w1,init_w2,fit_w2,init_b,fit_b,init_m1,fit_m1,init_m2,fit_m2
claude-3-5-haiku-20241022,numeric,,0.0362669639289379,0.1461769044399261,0.1812885254621505,0.4474302563530404,0.0510819513350725,-813.6794409702729,-803.237524200247,240,noisy_or,3,0.4,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,4,4,2025-08-16T18:38:51.255773+00:00,0.5121279954910278,0.5038653612136841,0.5121279954910278,0.5038653612136841,,,,,,,0.4838784635066986,0.295783519744873,0.4927954077720642,0.5348392128944397,0.4927954077720642,0.5348392128944397
claude-3-7-sonnet-20250219,numeric,,0.0630161091685295,0.0737416297197341,0.1171108037233352,0.8970541780375582,0.0360904674977064,-1023.4246809380536,-1012.9827641680276,240,noisy_or,3,0.4,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,3,3,2025-08-16T18:38:59.025371+00:00,0.5055516958236694,0.4650417864322662,0.5055516958236694,0.4650417864322662,,,,,,,0.5037974119186401,0.0195731800049543,0.5437019467353821,0.9195854067802428,0.5437019467353821,0.9195854067802428
claude-3-haiku-20240307,numeric,,0.0517412349581718,0.1543903946876526,0.1900574266910553,0.4000095176291308,0.0438014984130859,-791.005923658663,-780.5640068886371,240,noisy_or,3,0.4,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,4,4,2025-08-16T18:39:14.057185+00:00,0.5121279954910278,0.6575976014137268,0.5121279954910278,0.6575976014137268,,,,,,,0.4838784635066986,0.3533318638801574,0.4927954077720642,0.5734022855758667,0.4927954077720642,0.5734022855758667
claude-opus-4-20250514,numeric,,0.0446566119790077,0.1109447479248046,0.1469364315271377,0.7770434569442919,0.0344288004562258,-914.522514357144,-904.0805975871182,240,noisy_or,3,0.4,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,3,3,2025-08-16T18:39:23.131604+00:00,0.5055516958236694,0.4781279861927032,0.5055516958236694,0.4781279861927032,,,,,,,0.5037974119186401,0.095585711300373,0.5437019467353821,0.7826939225196838,0.5437019467353821,0.7826939225196838
claude-sonnet-4-20250514,numeric,,0.0426519475877285,0.0875427424907684,0.1023057475686073,0.8967638661606763,0.037879154458642,-1088.2989152891694,-1077.8569985191434,240,noisy_or,3,0.4,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,3,3,2025-08-16T18:39:32.017117+00:00,0.5055516958236694,0.4582407176494598,0.5055516958236694,0.4582407176494598,,,,,,,0.5037974119186401,0.1029290780425071,0.5437019467353821,0.8522419929504395,0.5437019467353821,0.8522419929504395
gpt-4,numeric,,0.0380274914205074,0.1614135056734085,0.1745432466268539,0.4979012242351085,0.1221175037324428,-831.8797006041899,-821.437783834164,240,noisy_or,3,0.4,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,4,4,2025-08-16T18:39:41.353055+00:00,0.5121279954910278,0.5803623795509338,0.5121279954910278,0.5803623795509338,,,,,,,0.4838784635066986,0.2425358295440673,0.4927954077720642,0.6150877475738525,0.4927954077720642,0.6150877475738525
gpt-4.1,numeric,,0.0664432570338249,0.0420170091092586,0.0905497893691062,0.9437437204856692,0.023745698062703,-1146.890609166602,-1136.448692396576,240,noisy_or,3,0.4,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,3,3,2025-08-16T18:39:49.902488+00:00,0.5055516958236694,0.4697129428386688,0.5055516958236694,0.4697129428386688,,,,,,,0.5037974119186401,0.0220829676836729,0.5437019467353821,0.9830159544944764,0.5437019467353821,0.9830159544944764
gpt-4.1-mini,numeric,,0.0807877033948898,0.1217351928353309,0.1772844940423965,0.7755680228550701,0.0656974906101822,-824.3997904256536,-813.9578736556276,240,noisy_or,3,0.4,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,1,1,2025-08-16T18:40:04.412165+00:00,0.4715025722980499,0.3839560747146606,0.4715025722980499,0.3839560747146606,,,,,,,0.494641900062561,0.0238707605749368,0.4953719675540924,0.8592097163200378,0.4953719675540924,0.8592097163200378
gpt-4o,numeric,,0.0750834643840789,0.0723438560962677,0.1255282908678054,0.8956724712592451,0.0228901723399758,-990.1075883522518,-979.665671582226,240,noisy_or,3,0.4,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,3,3,2025-08-16T18:40:16.104193+00:00,0.5055516958236694,0.4122550189495086,0.5055516958236694,0.4122550189495086,,,,,,,0.5037974119186401,0.0172093007713556,0.5437019467353821,0.9766597747802734,0.5437019467353821,0.9766597747802734
humans,numeric,,0.0189701560884714,0.0908365324139595,0.1100012958049774,0.7723586302181731,0.0062899634242057,-1053.4862800164385,-1043.0443632464123,240,noisy_or,3,0.4,lbfgs,2,rw17_indep_causes,collider,0.0,economy;sociology;weather,9,9,2025-08-16T18:40:31.879750+00:00,0.5083481073379517,0.5285243391990662,0.5083481073379517,0.5285243391990662,,,,,,,0.4851265251636505,0.2389554679393768,0.5145881772041321,0.630224883556366,0.5145881772041321,0.630224883556366
